sentence_id,section,runes,english
0.2.0.3,0.2,ᚪᛞᛠ ᚹᛡᛈ ᚳᛠᚢ ᚪᛞᛠ ᚪᛝᛏᛞᛈᛏ ᛋᛠ ᛏᛋᚢᚻᚳ ᛞᛈᛡᛈ ᚹᛏᚣᛈᚻ ᚠᛈ ᛇᚹᛏᛋᛈᛡ,"""WHO ARE YOU WHO WISHES TO STUDY HERE"" ASKED THE MASTER"
0.2.0.4,0.2,ᚠᛈ ᛏᛋᚢᚻᛈᛟᛋ ᛋᛠᛄᚻ ᚠᛈ ᛇᚹᛏᛋᛈᛡ ᛞᛝᛏ ᛟᚹᛇᛈ,THE STUDENT TOLD THE MASTER HIS NAME
0.2.0.5,0.2,ᚠᚹᛋ ᛝᛏ ᛟᛠᛋ ᚪᛞᛠ ᚳᛠᚢ ᚹᛡᛈ ᚠᚹᛋ ᛝᛏ ᛠᛟᛄᚳ ᚪᛞᚹᛋ ᚳᛠᚢ ᚹᛡᛈ ᚣᚹᛄᛄᛈᚻ,"""THAT IS NOT WHO YOU ARE, THAT IS ONLY WHAT YOU ARE CALLED"
0.2.0.6,0.2,ᚪᛞᛠ ᚹᛡᛈ ᚳᛠᚢ ᚪᛞᛠ ᚪᛝᛏᛞᛈᛏ ᛋᛠ ᛏᛋᚢᚻᚳ ᛞᛈᛡᛈ ᛞᛈ ᚹᛏᚣᛈᚻ ᚹᚫᚹᛝᛟ,"WHO ARE YOU WHO WISHES TO STUDY HERE"" HE ASKED AGAIN"
0.2.0.7,0.2,ᚠᛈ ᛇᚹᛟ ᚠᛠᚢᚫᛞᛋ ᚦᛠᛡ ᚹ ᛇᛠᛇᛈᛟᛋ ᚹᛟᚻ ᛡᛈᛖᛄᛝᛈᚻ ᛝ ᚹᛇ ᚹ ᛖᛡᛠᚦᛈᛏᛏᛠᛡ,"THE MAN THOUGHT FOR A MOMENT, AND REPLIED ""I AM A PROFESSOR"""
0.2.0.8,0.2,ᚠᚹᛋ ᛝᛏ ᚪᛞᚹᛋ ᚳᛠᚢ ᚻᛠ ᛟᛠᛋ ᚪᛞᛠ ᚳᛠᚢ ᚹᛡᛈ ᛡᛈᛖᛄᛝᛈᚻ ᚠᛈ ᛇᚹᛏᛋᛈᛡ,"""THAT IS WHAT YOU DO, NOT WHO YOU ARE,"" REPLIED THE MASTER"
0.2.0.9,0.2,ᚪᛞᛠ ᚹᛡᛈ ᚳᛠᚢ ᚪᛞᛠ ᚪᛝᛏᛞᛈᛏ ᛋᛠ ᛏᛋᚢᚻᚳ ᛞᛈᛡᛈ,"""WHO ARE YOU WHO WISHES TO STUDY HERE"""
0.2.0.10,0.2,ᚣᛠᛟᚦᚢᛏᛈᚻ ᚠᛈ ᛇᚹᛟ ᚠᛠᚢᚫᛞᛋ ᛏᛠᛇᛈ ᛇᛠᛡᛈ,"CONFUSED, THE MAN THOUGHT SOME MORE"
0.2.0.11,0.2,ᚦᛝᛟᚹᛄᛄᚳ ᛞᛈ ᚹᛟᛏᚪᛈᛡᛈᚻ ᛝ ᚹᛇ ᚹ ᛞᚢᛇᚹᛟ ᛉᛈᛁ,"FINALLY, HE ANSWERED, ""I AM A HUMAN BEING"""
0.2.0.12,0.2,ᚠᚹᛋ ᛝᛏ ᛠᛟᛄᚳ ᚳᛠᚢᛡ ᛏᛖᛈᚣᛝᛈᛏ ᛟᛠᛋ ᚪᛞᛠ ᚳᛠᚢ ᚹᛡᛈ,"""THAT IS ONLY YOUR SPECIES, NOT WHO YOU ARE"
0.2.0.13,0.2,ᚪᛞᛠ ᚹᛡᛈ ᚳᛠᚢ ᚪᛞᛠ ᚪᛝᛏᛞᛈᛏ ᛋᛠ ᛏᛋᚢᚻᚳ ᛞᛈᛡᛈ ᚹᛏᚣᛈᚻ ᚠᛈ ᛇᚹᛏᛋᛈᛡ ᚹᚫᚹᛝᛟ,"WHO ARE YOU WHO WISHES TO STUDY HERE"", ASKED THE MASTER AGAIN"
0.2.0.14,0.2,ᚹᚦᛋᛈᛡ ᚹ ᛇᛠᛇᛈᛟᛋ ᛠᚦ ᚠᛠᚢᚫᛞᛋ ᚠᛈ ᛖᛡᛠᚦᛈᛏᛏᛠᛡ ᛡᛈᛖᛄᛝᛈᚻ ᛝ ᚹᛇ ᚹ ᚣᛠᛟᛏᚣᚱᚢᛏᛟᛈᛏᛏ ᛝᛟᛞᚹᛉᛝᛋᛁ ᚹᛟ ᚹᛡᛉᛝᛋᛡᚹᛡᚳ ᛉᛠᚻᚳ,"AFTER A MOMENT OF THOUGHT, THE PROFESSOR REPLIED ""I AM A CONSCIOUSNESS INHABITING AN ARBITRARY BODY"""
0.2.0.15,0.2,ᚠᚹᛋ ᛝᛏ ᛇᛈᛡᛈᛄᚳ ᚪᛞᚹᛋ ᚳᛠᚢ ᚹᛡᛈ ᛟᛠᛋ ᚪᛞᛠ ᚳᛠᚢ ᚹᛡᛈ,"""THAT IS MERELY WHAT YOU ARE, NOT WHO YOU ARE"
0.2.0.16,0.2,ᚪᛞᛠ ᚹᛡᛈ ᚳᛠᚢ ᚪᛞᛠ ᚪᛝᛏᛞᛈᛏ ᛋᛠ ᛏᛋᚢᚻᚳ ᛞᛈᛡᛈ,"WHO ARE YOU WHO WISHES TO STUDY HERE"""
0.2.0.17,0.2,ᚠᛈ ᛇᚹᛟ ᚪᚹᛏ ᚫᛈᛋᛋᛁ ᛝᛡᛡᛝᛋᚹᛋᛈᚻ,THE MAN WAS GETTING IRRITATED
0.2.0.18,0.2,ᛝ ᚹᛇ ᛞᛈ ᛏᛋᚹᛡᛋᛈᚻ ᛉᚢᛋ ᛞᛈ ᚣᛠᚢᛄᚻ ᛟᛠᛋ ᚠᛝᛟᚣ ᛠᚦ ᚹᛟᚳᚠᛁ ᛈᛄᛏᛈ ᛋᛠ ᛏᚹᚳ ᛏᛠ ᛞᛈ ᛋᛡᚹᛝᛄᛈᚻ ᛠᚦᚦ,"""I AM,"" HE STARTED, BUT HE COULD NOT THINK OF ANYTHING ELSE TO SAY, SO HE TRAILED OFF"
0.2.0.19,0.2,ᚹᚦᛋᛈᛡ ᚹ ᛄᛠᛁ ᛖᚹᚢᛏᛈ ᚠᛈ ᛇᚹᛏᛋᛈᛡ ᛡᛈᛖᛄᛝᛈᚻ ᚠᛈᛟ ᚳᛠᚢ ᚹᛡᛈ ᚪᛈᛄᚣᛠᛇᛈ ᛋᛠ ᚣᛠᛇᛈ ᛏᛋᚢᚻᚳ,"AFTER A LONG PAUSE THE MASTER REPLIED, ""THEN YOU ARE WELCOME TO COME STUDY"""
0.2.1.0,0.2,ᚹᛟ ᛝᛟᛏᛋᛡᚢᚣᛋᚱᛟ,AN INSTRUCTION
0.2.1.1,0.2,ᚻᛠ ᚦᛠᚢᛡ ᚢᛟᛡᚩᛏᛠᛟᚹᛉᛄᛈ ᚠᛁᛏ ᚩᚣᛞ ᚻᚹᚳ,DO FOUR UNREASONABLE THINGS EACH DAY
0.3.0.0,0.3,ᚦᛖ ᛚᚩᛋᛋ ᚩᚠ ᛞᛁᚢᛁᚾᛁᛏᚣ,THE LOSS OF DIVINITY
0.3.0.1,0.3,ᚦᛖ ᚳᛁᚱᚳᚢᛗᚠᛖᚱᛖᚾᚳᛖ ᛈᚱᚪᚳᛏᛁᚳᛖᛋ ᚦᚱᛖᛖ ᛒᛖᚻᚪᚢᛡᚱᛋ ᚹᚻᛁᚳᚻ ᚳᚪᚢᛋᛖ ᚦᛖ ᛚᚩᛋᛋ ᚩᚠ ᛞᛁᚢᛁᚾᛁᛏᚣ,THE CIRCUMFERENCE PRACTICES THREE BEHAVIORS WHICH CAUSE THE LOSS OF DIVINITY
0.3.0.2,0.3,ᚳᚩᚾᛋᚢᛗᛈᛏᛡᚾ,CONSUMPTION
0.3.0.3,0.3,ᚹᛖ ᚳᚩᚾᛋᚢᛗᛖ ᛏᚩᚩ ᛗᚢᚳᚻ ᛒᛖᚳᚪᚢᛋᛖ ᚹᛖ ᛒᛖᛚᛖᛁᚢᛖ ᚦᛖ ᚠᚩᛚᛚᚩᚹᛝ ᛏᚹᚩ ᛖᚱᚱᚩᚱᛋ ᚹᛁᚦᛁᚾ ᚦᛖ ᛞᛖᚳᛖᛈᛏᛡᚾ,WE CONSUME TOO MUCH BECAUSE WE BELEIVE THE FOLLOWING TWO ERRORS WITHIN THE DECEPTION
0.3.0.4,0.3,1 ᚹᛖ ᛞᚩ ᚾᚩᛏ ᚻᚪᚢᛖ ᛖᚾᚩᚢᚷᚻ ᚩᚱ ᚦᛖᚱᛖ ᛁᛋ ᚾᚩᛏ ᛖᚾᚩᚢᚷᚻ,"1 WE DO NOT HAVE ENOUGH, OR THERE IS NOT ENOUGH"
0.3.0.5,0.3,2 ᚹᛖ ᚻᚪᚢᛖ ᚹᚻᚪᛏ ᚹᛖ ᚻᚪᚢᛖ ᚾᚩᚹ ᛒᚣ ᛚᚢᚳᚳ ᚪᚾᛞ ᚹᛖ ᚹᛁᛚᛚ ᚾᚩᛏ ᛒᛖ ᛋᛏᚱᚩᛝ ᛖᚾᚩᚢᚷᚻ ᛚᚪᛏᛖᚱ ᛏᚩ ᚩᛒᛏᚪᛁᚾ ᚹᚻᚪᛏ ᚹᛖ ᚾᛖᛖᛞ,2 WE HAVE WHAT WE HAVE NOW BY LUCK; AND WE WILL NOT BE STRONG ENOUGH LATER TO OBTAIN WHAT WE NEED
0.3.0.6,0.3,ᛗᚩᛋᛏ ᚦᛝᛋ ᚪᚱᛖ ᚾᚩᛏ ᚹᚩᚱᚦ ᚳᚩᚾᛋᚢᛗᛝ,MOST THINGS ARE NOT WORTH CONSUMING
0.3.0.7,0.3,ᛈᚱᛖᛋᛖᚱᚢᚪᛏᛡᚾ,PRESERVATION
0.3.0.8,0.3,ᚹᛖ ᛈᚱᛖᛋᛖᚱᚢᛖ ᚦᛝᛋ ᛒᛖᚳᚪᚢᛋᛖ ᚹᛖ ᛒᛖᛚᛁᛖᚢᛖ ᚹᛖ ᚪᚱᛖ ᚹᛠᚳ,WE PRESERVE THINGS BECAUSE WE BELIEVE WE ARE WEAK
0.3.0.9,0.3,ᛁᚠ ᚹᛖ ᛚᚩᛋᛖ ᚦᛖᛗ ᚹᛖ ᚹᛁᛚᛚ ᚾᚩᛏ ᛒᛖ ᛋᛏᚱᚩᛝ ᛖᚾᚩᚢᚷᚻ ᛏᚩ ᚷᚪᛁᚾ ᚦᛖᛗ ᚪᚷᚪᛁᚾ,IF WE LOSE THEM WE WILL NOT BE STRONG ENOUGH TO GAIN THEM AGAIN
0.3.0.10,0.3,ᚦᛁᛋ ᛁᛋ ᚦᛖ ᛞᛖᚳᛖᛈᛏᛡᚾ,THIS IS THE DECEPTION
0.3.0.11,0.3,ᛗᚩᛋᛏ ᚦᛝᛋ ᚪᚱᛖ ᚾᚩᛏ ᚹᚩᚱᚦ ᛈᚱᛖᛋᛖᚱᚢᛝ,MOST THINGS ARE NOT WORTH PRESERVING
0.3.0.12,0.3,ᚪᛞᚻᛖᚱᛖᚾᚳᛖ,ADHERENCE
0.3.0.13,0.3,ᚹᛖ ᚠᚩᛚᛚᚩᚹ ᛞᚩᚷᛗᚪ ᛋᚩ ᚦᚪᛏ ᚹᛖ ᚳᚪᚾ ᛒᛖᛚᚩᛝ ᚪᚾᛞ ᛒᛖ ᚱᛁᚷᚻᛏ ᚩᚱ ᚹᛖ ᚠᚩᛚᛚᚩᚹ ᚱᛠᛋᚩᚾ ᛋᚩ ᚹᛖ ᚳᚪᚾ ᛒᛖᛚᚩᛝ ᚪᚾᛞ ᛒᛖ ᚱᛁᚷᚻᛏ,WE FOLLOW DOGMA SO THAT WE CAN BELONG AND BE RIGHT; OR WE FOLLOW REASON SO WE CAN BELONG AND BE RIGHT
0.3.0.14,0.3,ᚦᛖᚱᛖ ᛁᛋ ᚾᚩᚦᛝ ᛏᚩ ᛒᛖ ᚱᛁᚷᚻᛏ ᚪᛒᚩᚢᛏ ᛏᚩ ᛒᛖᛚᚩᛝ ᛁᛋ ᛞᛠᚦ,THERE IS NOTHING TO BE RIGHT ABOUT; TO BELONG IS DEATH
0.3.0.15,0.3,ᛁᛏ ᛁᛋ ᚦᛖ ᛒᛖᚻᚪᚢᛡᚱᛋ ᚩᚠ ᚳᚩᚾᛋᚢᛗᛈᛏᛡᚾ ᛈᚱᛖᛋᛖᚱᚢᚪᛏᛡᚾ ᚪᚾᛞ ᚪᛞᚻᛖᚱᛖᚾᚳᛖ ᚦᚪᛏ ᚻᚪᚢᛖ ᚢᛋ ᛚᚩᛋᛖ ᚩᚢᚱ ᛈᚱᛁᛗᚪᛚᛁᛏᚣ ᚪᚾᛞ ᚦᚢᛋ ᚩᚢᚱ ᛞᛁᚢᛁᚾᛁᛏᚣ,"IT IS THE BEHAVIORS OF CONSUMPTION, PRESERVATION AND ADHERENCE THAT HAVE US LOSE OUR PRIMALITY, AND THUS OUR DIVINITY"
0.3.1.0,0.3,ᛋᚩᛗᛖ ᚹᛁᛋᛞᚩᛗ,SOME WISDOM
0.3.1.1,0.3,ᚪᛗᚪᛋᛋ ᚷᚱᛠᛏ ᚹᛠᛚᚦ,AMASS GREAT WEALTH
0.3.1.2,0.3,ᚾᛖᚢᛖᚱ ᛒᛖᚳᚩᛗᛖ ᚪᛏᛏᚪᚳᚻᛖᛞ ᛏᚩ ᚹᚻᚪᛏ ᚣᚩᚢ ᚩᚹᚾ,NEVER BECOME ATTACHED TO WHAT YOU OWN
0.3.1.3,0.3,ᛒᛖ ᛈᚱᛖᛈᚪᚱᛖᛞ ᛏᚩ ᛞᛖᛋᛏᚱᚩᚣ ᚪᛚᛚ ᚦᚪᛏ ᚣᚩᚢ ᚩᚹᚾ,BE PREPARED TO DESTROY ALL THAT YOU OWN
0.3.2.0,0.3,ᚪᚾ ᛁᚾᛋᛏᚱᚢᚳᛏᛡᚾ,AN INSTRUCTION
0.3.2.1,0.3,ᛈᚱᚩᚷᚱᚪᛗ ᚣᚩᚢᚱ ᛗᛁᚾᛞ,PROGRAM YOUR MIND
0.3.2.2,0.3,ᛈᚱᚩᚷᚱᚪᛗ ᚱᛠᛚᛁᛏᚣ,PROGRAM REALITY
0.4.0.0,0.4,ᚪ ᛋᚹᚪᛁ,A KOAN
0.4.0.1,0.4,ᛈᚢᛟᚫ ᛈ ᚠᛖᚱᛋᛈᛈ ᚦᛗ ᚾᚪᚱᛚᚹᛈ ᛖᚩᛈᚢᛠᛁᛁᚻᛞ ᛚᛟ ᛠ,"DURING A LESSON, THE MASTER EXPLAINED THE I"
0.4.0.2,0.4,ᛄᛖ ᛠ ᛁᚫ ᚷᛖ ᚦᛟᛁᛞᛟ ᛝᚠ ᛄᛖ ᛞᛁᛉᚾᚢᛚᚠᚻᚱᚹᛈᛞᛡ ᚻᚹ ᛋᚳᛉᛞ,"""THE I IS THE VOICE OF THE CIRCUMFERENCE,"" HE SAID"
0.4.0.3,0.4,ᚻᛡᛖᛡ ᛠᚱᛉᛖᛇ ᛒᚹ ᛠ ᛋᛒᛚᛞᚹᛈᚳ ᚫᚩ ᚹᛉᛞᚪᚪᛄᛠ ᚹᚣᛠᚳ ᛄᚪᚳ ᛗᚾᛈᛏ ᚩᚻ ᛗᛈᛗᚳᛡᚱ ᚱᚪᛚᛡ ᛁᛒ ᚠᛋ ᛈ ᚳᛝᛗᚳᚹ ᛁᛗᛗᛁᚪᚻ ᚣᛝᚳᛟ ᛒᛠᛇ,"WHEN ASKED BY A STUDENT TO EXPLAIN WHAT THAT MEANT; THE MASTER SAID ""IT IS A VOICE INSIDE YOUR HEAD"""
0.4.0.4,0.4,ᛁ ᚱᚹᚾᛒ ᛡᚪᛗᛟ ᛈ ᛁᚩᛠᚳᛠ ᛉᚾ ᛚᛏ ᚻᛒᛡ ᛚᛇᚢᚪᚻᚣ ᚷᛖ ᛏᚷᚢᛇᛟᛡᚫ ᚪᛡᛞ ᛖᛟ ᚱᚫᚠᛋᚹᛡ ᚣᛗᛋ ᚣᚪᛗᛡ ᛏᚱ ᚷᛖᚾᚪ ᛚᛡ ᛗᛈᛋᚣᛟᚱ,"""I DON'T HAVE A VOICE IN MY HEAD,"" THOUGHT THE STUDENT, AND HE RAISED HIS HAND TO TELL THE MASTER"
0.4.0.5,0.4,ᚩᚻ ᛗᛈᛗᚳᛡᚱ ᚱᛏᛈᛒᛈᛗᛈ ᚦᚹ ᛗᚳᛁᛞᚹᚾᚣ ᛠᚾᚪ ᚳᚪᛠᛡ ᛚᛡ ᚢᛝᛁᛋᛟ ᚦᚫᚷ ᛄᛗᛗᚳ ᚪᚪᛠᛞ ᚹᚹᚢ ᚾᛉᚢᚹ ᛈᛝ ᛁᚩᛠᚳᛠ ᛉᚾ ᛡᛟᚢᛟ ᛇᛒᚩ ᛁᚱ ᚦᛠ ᛉ,"THE MASTER STOPPED THE STUDENT, AND SAID ""THE VOICE THAT JUST SAID YOU HAVE NO VOICE IN YOUR HEAD; IS THE I"""
0.4.0.6,0.4,ᚪᛁᛈ ᚦᚹ ᛗᚳᛁᛞᚹᚾᚣᛗ ᚹᛗᛞᛖ ᚹᛈᚾᛗᚷᚣᛏᛠᛈᛖᚪ,AND THE STUDENTS WERE ENLIGHTENED
0.4.1.0,0.4,ᚪᚾ ᛁᚾᛋᛏᚱᚢᚳᛏᛡᚾ,AN INSTRUCTION
0.4.1.1,0.4,ᚳᚹᛖᛋᛏᛡᚾ ᚪᛚᛚ ᚦᛝᛋ,KWESTION ALL THINGS
0.4.1.2,0.4,ᛞᛁᛋᚳᚩᚢᛖᚱ ᛏᚱᚢᚦ ᛁᚾᛋᛁᛞᛖ ᚣᚩᚢᚱᛋᛖᛚᚠ,DISCOVER TRUTH INSIDE YOURSELF
0.4.1.3,0.4,ᚠᚩᛚᛚᚩᚹ ᚣᚩᚢᚱ ᛏᚱᚢᚦ,FOLLOW YOUR TRUTH
0.4.1.4,0.4,ᛁᛗᛈᚩᛋᛖ ᚾᚩᚦᛝ ᚩᚾ ᚩᚦᛖᚱᛋ,IMPOSE NOTHING ON OTHERS
0.4.2.0,0.4,ᚳᚾᚩᚹ ᚦᛁᛋ,KNOW THIS
0.5.0.0,0.5,ᛋᚻᛖᚩᚷᛗᛡᚠ ᛋᚣᛖᛝᚳ,
0.5.0.1,0.5,ᚦᛄᚷᚫ ᚠᛄᛟ ᚩᚾᚦ ᚾᛖᚹᛒᚪᛋᛟᛇᛁᛝᚢ ᚾᚫᚷᛁᚦ ᚻᛒᚾᛡ ᛈᛒᚾ ᛇᛄᚦ ᚪᛝᚣᛉ ᛒᛞᛈ ᛖᛡᚠᛉᚷᚠ ᛋᛈᛏᚠᛈᚢᛝᚣᛝᛉᛡ ᚣᚻ ᛒᚢ ᚷᚩᛈ ᛝᚫᚦ ᛁᚫᚻᛉᚦᛈᚷ ᚣᚠᛝᚳᛄ ᚦᚪᛗᛁᛝᛁᛡᚣ ᚻᛇ ᛏᚻᚫᛡ ᛉᚣ ᛖᚢᛝ ᚳᚠᚾ ᛇᚦᛄᛁᚦ ᚦᛈ ᚣᛝᛠ ᚣᚾᛖᚣ ᛞᛉᛝᚹ ᛒᚳᛉᛞᛒᚠ ᛗᛏᚾᛖ ᛠᛄᚾᛚᚷᛒ ᛉᚷᚦ,
